model_name,true_positive_pct,true_negative_pct,false_positive_pct,false_negative_pct,total_accuracy,precision,recall,f1,roc_auc
logistic_regression,38.732394366197184,33.80281690140845,16.197183098591548,11.267605633802816,72.53521126760563,70.51282051282051,77.46478873239437,73.8255033557047,78.84844276929181
linear_svm,36.971830985915496,34.15492957746479,15.845070422535212,13.028169014084508,71.12676056338029,70.0,73.94366197183099,71.91780821917808,78.95258877206903
rbf_svm,35.91549295774648,33.45070422535211,16.549295774647888,14.084507042253522,69.36619718309859,68.45637583892618,71.83098591549296,70.10309278350515,76.33406070224163
random_forest,35.563380281690144,36.267605633802816,13.732394366197184,14.43661971830986,71.83098591549296,72.14285714285714,71.12676056338029,71.63120567375887,76.73824637968657
