OriginalPaperPubMedID,ControlPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,first_author_given_names,first_author_surname
30935156,42439773,PMC13363593,s3://pmc-oa-opendata/PMC13363593.1/PMC13363593.1.xml?md5=7d609918b0fc99b089565aa0518efe0c,Nanomaterials (Basel),research-article,Blue-Light-Driven Aerobic Oxidation via ROS-Generating Binuclear Cobalt(II) Complex Photocatalyst,2026,Yuhao,Mu
28315290,30180922,PMC7848270,s3://pmc-oa-opendata/PMC7848270.1/PMC7848270.1.xml?md5=954ba2ae785ba58b262f2cbeb6ea5c75,Oncol Res,research-article,"1,25(OH)2D3 Attenuates IL-1β-Induced Epithelial-to-Mesenchymal Transition Through Inhibiting the Expression of lncTCF7",2019,Tengyu,Li
25091017,26815406,PMC4633965,s3://pmc-oa-opendata/PMC4633965.1/PMC4633965.1.xml?md5=f207543a38fbbe176aaa466ed167a175,Nat Commun,research-article,Antigen receptor-mediated depletion of FOXP3 in induced regulatory T-lymphocytes via PTPN2 and FOXO1,2015,Evita,Bothur
40510716,42422800,PMC13342732,s3://pmc-oa-opendata/PMC13342732.1/PMC13342732.1.xml?md5=eb8f2a092952c3aa0a672ea40cf9665e,Natl J Maxillofac Surg,research-article,Utility of tooth as an autogenous graft material in the management of intraoperative alveolar bony defects—A clinical trial,2026,Abhay,Datarkar
33322612,42357589,PMC13304499,s3://pmc-oa-opendata/PMC13304499.1/PMC13304499.1.xml?md5=4993524f2e95e9cf6d9f2e572a54c653,Molecules,research-article,Metabolomic Changes in the Rat Eye Lens During the Cataract Onset,2026,Olga A.,Snytnikova
26473829,42353353,PMC13299206,s3://pmc-oa-opendata/PMC13299206.1/PMC13299206.1.xml?md5=0ef43d9f1dcab393388c019975e32187,Int J Mol Sci,research-article,Dengue Virus NS5 Target Discovery: A Comprehensive in Silico Exploration of Novel Druggable Sites for Pan-Serotype Antiviral Design,2026,João,Trigueiro-Louro
28148261,30572883,PMC6302470,s3://pmc-oa-opendata/PMC6302470.1/PMC6302470.1.xml?md5=bef70bdfe12b11aab6d61dee340baba3,Mol Cancer,research-article,Alteration of tumor suppressor BMP5 in sporadic colorectal cancer: a genomic and transcriptomic profiling based study,2018,Erfei,Chen
28587313,42353349,PMC13299367,s3://pmc-oa-opendata/PMC13299367.1/PMC13299367.1.xml?md5=fc474c34b520c6b2e33e6937adab967e,Int J Mol Sci,research-article,Activated Macrophages Promote TNF-α-Associated Tumor Cell Necroptosis in Pituitary Apoplexy Through the PIEZO1–NFATC2/REL Axis,2026,Xingbo,Li
31751910,34258105,PMC8250456,s3://pmc-oa-opendata/PMC8250456.1/PMC8250456.1.xml?md5=f4cb830a8bfd16cad39680b29a588049,Mol Ther Nucleic Acids,research-article,Epigenetic Control of circHNRNPH1 in Postischemic Myocardial Fibrosis through Targeting of TGF-β Receptor Type I,2021,Weifeng,Li
34977500,38371522,PMC10869925,s3://pmc-oa-opendata/PMC10869925.1/PMC10869925.1.xml?md5=8c88188a62ee3ef76870450a00caaf99,iScience,research-article,A liver digital twin for in silico testing of cellular and inter-cellular mechanisms in regeneration after drug-induced damage,2024,Jieling,Zhao
36132041,36133953,PMC9417066,s3://pmc-oa-opendata/PMC9417066.1/PMC9417066.1.xml?md5=1add45ff530a3d9878ab40d64225472c,Nanoscale Adv,research-article,“PP-type” self-assembling peptides with superior rheological properties†,2021,Fangmin,Li
32309723,35252634,PMC8890773,s3://pmc-oa-opendata/PMC8890773.1/PMC8890773.1.xml?md5=cb25e0fbce0e9a3d1a7a78390d7a75a8,ACS Omega,research-article,Thermal and Kinetic Studies on Biomass Degradation via Thermogravimetric Analysis: A Combination of Model-Fitting and Model-Free Approach,2021,Tolu,Emiola-Sadiq
31189746,33325525,PMC7744737,s3://pmc-oa-opendata/PMC7744737.1/PMC7744737.1.xml?md5=f7f49ba20f76cdc1694bc385456bbeb8,Biosci Rep,research-article,Identification of novel biomarkers and candidate small molecule drugs in rheumatoid arthritis and osteoarthritis based on bioinformatics analysis of high‐throughput data,2020,Bin,Zuo
30907059,33382195,PMC7811839,s3://pmc-oa-opendata/PMC7811839.1/PMC7811839.1.xml?md5=bbdfcd25ea00bfb12b561d439819f5f3,Aging Cell,research-article,Diacetyl odor shortens longevity conferred by food deprivation in C. elegans via downregulation of DAF‐16/FOXO,2020,Sangsoon,Park
29614969,31888484,PMC6937793,s3://pmc-oa-opendata/PMC6937793.1/PMC6937793.1.xml?md5=70938b4746449fb8aa16589ad576c354,BMC Neurosci,research-article,Altered functional connectivity of the nucleus accumbens subdivisions in amphetamine-type stimulant abusers: a resting-state fMRI study,2019,Yun,Wang
34942957,42352667,PMC13297314,s3://pmc-oa-opendata/PMC13297314.1/PMC13297314.1.xml?md5=5c6894346809fbfd2ba3b246d2da9c4a,Brain Sci,research-article,Anterior Cingulate Cortex Mediates State-Dependent Prioritization of Distressed Conspecifics,2026,Hongyu,Cao
32512788,42352086,PMC13295497,s3://pmc-oa-opendata/PMC13295497.1/PMC13295497.1.xml?md5=79caba6c951495291cbf66d8af9e0072,Antioxidants (Basel),research-article,A Mitochondria-Targeted Nitroxide Radical Mitigates Radiation-Induced Liver Injury by Attenuating Oxidative Stress and Preserving Mitochondrial Function,2026,Miaomiao,Li
33644474,36923855,PMC10008990,s3://pmc-oa-opendata/PMC10008990.1/PMC10008990.1.xml?md5=7a9cc43c8cd9a664fa2b2e5c79db5ddb,Heliyon,research-article,Weibo users and Academia's foci on tourism safety: Implications from institutional differences and digital divide,2023,Liyun,Zeng
35116885,33354523,PMC7751973,s3://pmc-oa-opendata/PMC7751973.1/PMC7751973.1.xml?md5=6edf6f3f5c19b1d5fad6877d126dac45,Transl Cancer Res,research-article,"Cytoreductive nephrectomy for metastatic renal cell carcinoma, the ultimate urologic ‘Choosing Wisely’ campaign: a narrative review",2020,Alexandra L.,Tabakin
23620794,25919745,PMC4412563,s3://pmc-oa-opendata/PMC4412563.1/PMC4412563.1.xml?md5=7b175ba259c9309c561f6b0b9be955cf,PLoS One,research-article,Prevalence and Molecular Identification of Nematode and Dipteran Parasites in an Australian Alpine Grasshopper (Kosciuscola tristis),2015,Kate D. L.,Umbers
28122024,30596806,PMC6312261,s3://pmc-oa-opendata/PMC6312261.1/PMC6312261.1.xml?md5=6717cecf82698f45703017b08399d816,PLoS One,research-article,Trichloroethene metabolite dichloroacetyl chloride induces apoptosis and compromises phagocytosis in Kupffer Cells: Activation of inflammasome and MAPKs,2018,Hui,Wang
27093541,29287124,PMC5747483,s3://pmc-oa-opendata/PMC5747483.1/PMC5747483.1.xml?md5=d9fa4cf6c6dac18745bcd02180ac09ee,PLoS One,research-article,Impact of delirium on postoperative frailty and long term cardiovascular events after cardiac surgery,2017,Masato,Ogawa
34064916,41599165,PMC12845456,s3://pmc-oa-opendata/PMC12845456.1/PMC12845456.1.xml?md5=afb380efd1ff1c92c0eab815ba2ef20d,Pharmaceutics,research-article,In Vitro and In Silico Evaluation of Polymyxin B Aerosol Delivery in Adult Mechanical Ventilation,2025,Shengnan,Zhang
37748060,40591563,PMC11331118,s3://pmc-oa-opendata/PMC11331118.1/PMC11331118.1.xml?md5=10e7fee93011501bdeea102c28a2faa2,Proc Natl Acad Sci U S A,research-article,UPF1 deficiency enhances mitochondrial ROS which promotes an immunosuppressive microenvironment in pancreatic ductal adenocarcinoma,2024,Wenjuan,Su
35357202,38132636,PMC10865983,s3://pmc-oa-opendata/PMC10865983.1/PMC10865983.1.xml?md5=d8fc6b73b0c3ea8e0ef562248c550025,mBio,research-article,Antiviral Wolbachia strains associate with Aedes aegypti endoplasmic reticulum membranes and induce lipid droplet formation to restrict dengue virus replication,2024,Robson K.,Loterio
