model_name,true_positive_pct,true_negative_pct,false_positive_pct,false_negative_pct,total_accuracy,precision,recall,f1,roc_auc
logistic_regression,36.971830985915496,33.098591549295776,16.901408450704224,13.028169014084508,70.07042253521126,68.62745098039215,73.94366197183099,71.1864406779661,74.68260265820274
linear_svm,35.91549295774648,31.338028169014084,18.661971830985916,14.084507042253522,67.25352112676056,65.80645161290323,71.83098591549296,68.68686868686868,74.00317397341797
rbf_svm,40.49295774647887,35.91549295774648,14.084507042253522,9.507042253521126,76.40845070422536,74.19354838709677,80.98591549295774,77.44107744107744,83.2597698869272
random_forest,37.67605633802817,35.91549295774648,14.084507042253522,12.32394366197183,73.59154929577464,72.78911564625851,75.35211267605634,74.0484429065744,78.95258877206905
