model_name,true_positive_pct,true_negative_pct,false_positive_pct,false_negative_pct,total_accuracy,precision,recall,f1,roc_auc
logistic_regression,36.971830985915496,29.577464788732396,20.422535211267604,13.028169014084508,66.54929577464789,64.41717791411043,73.94366197183099,68.85245901639344,73.86431263638168
linear_svm,37.32394366197183,29.929577464788732,20.070422535211268,12.67605633802817,67.25352112676056,65.03067484662577,74.64788732394366,69.50819672131148,73.87919063677842
rbf_svm,39.7887323943662,32.74647887323944,17.253521126760564,10.211267605633802,72.53521126760563,69.75308641975309,79.5774647887324,74.3421052631579,82.09680618924817
random_forest,38.732394366197184,32.394366197183096,17.6056338028169,11.267605633802816,71.12676056338029,68.75,77.46478873239437,72.84768211920529,79.13360444356279
