OriginalPaperDOI,OriginalPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,keywords,mesh_terms,first_author_given_names,first_author_surname
unavailable,18765050,PMC3015881,s3://pmc-oa-opendata/PMC3015881.1/PMC3015881.1.xml?md5=93604fa77f934e55cbf16abd687e7770,JSLS,research-article,Preoperative Risk Factors for Intraabdominal Adhesions Should Not Contraindicate Surgical Laparoscopy for Infertility,2008,Infertility | Laparoscopy | Adhesions,"Abdominal Cavity / surgery | Adult | Blood Loss, Surgical / statistics & numerical data | Contraindications | Female | Humans | Infertility, Female / surgery | Laparoscopy / methods | Postoperative Complications | Risk Factors | Tissue Adhesions / complications | Treatment Outcome",Tarek,Shokeir
10.1371/journal.pone.0170032,28060930,PMC5218505,s3://pmc-oa-opendata/PMC5218505.1/PMC5218505.1.xml?md5=12893bfead995b131e19c69df9098f4b,PLoS One,research-article,Beyond Emotional and Spatial Processes: Cognitive Dysfunction in a Depressive Phenotype Produced by Long Photoperiod Exposure,2017,,"Animals | Anxiety | Behavior, Animal | Cognitive Dysfunction | Depression | Emotions | Male | Maze Learning | Phenotype | Photoperiod | Physical Conditioning, Animal | Rats | Sleep Deprivation | Time Factors",Abigail K.,Barnes
10.1371/journal.ppat.1000907,20502630,PMC2873921,s3://pmc-oa-opendata/PMC2873921.1/PMC2873921.1.xml?md5=297623f0b0066d0adbcee317f8d606ba,PLoS Pathog,research-article,RETRACTED: Leishmania donovani Isolates with Antimony-Resistant but Not -Sensitive Phenotype Inhibit Sodium Antimony Gluconate-Induced Dendritic Cell Activation,2010,,"Animals | Antimony Sodium Gluconate / pharmacology | Antiprotozoal Agents / pharmacology | Cricetinae | Dendritic Cells / drug effects, metabolism, parasitology | Drug Resistance | Female | Gene Expression / drug effects | Glutamate-Cysteine Ligase / genetics, metabolism | Host-Parasite Interactions / drug effects | Interleukin-10 / metabolism | Leishmania donovani / drug effects, growth & development | Leishmaniasis, Visceral / drug therapy, immunology, parasitology | Male | Mesocricetus | Mice | Mice, Inbred BALB C | NF-kappa B / metabolism | Phenotype | Phosphatidylinositol 3-Kinases / metabolism | Proto-Oncogene Proteins c-akt / metabolism | Signal Transduction / immunology",Arun Kumar,Haldar
10.1371/journal.pone.0046720,23056421,PMC3463541,s3://pmc-oa-opendata/PMC3463541.1/PMC3463541.1.xml?md5=f61dc7cdc26da4178a60fa9076751fbb,PLoS One,research-article,"Angiogenesis Impairment in Diabetes: Role of Methylglyoxal-Induced Receptor for Advanced Glycation Endproducts, Autophagy and Vascular Endothelial Growth Factor Receptor 2",2012,,"Animals | Apoptosis Regulatory Proteins / metabolism | Autophagy / drug effects, genetics | Beclin-1 | Blotting, Western | Cattle | Cell Line | Cell Movement / drug effects, genetics | Cell Survival / drug effects, genetics | Diabetes Mellitus / genetics, metabolism | Endothelial Cells / cytology, drug effects | Glycation End Products, Advanced / genetics, metabolism | Human Umbilical Vein Endothelial Cells | Humans | Immunoprecipitation | Male | Membrane Proteins / metabolism | Mice | Mice, Inbred C57BL | Microtubule-Associated Proteins / metabolism | Neovascularization, Physiologic / drug effects | Protein Binding | Pyruvaldehyde / pharmacology | Real-Time Polymerase Chain Reaction | Sirolimus / pharmacology | Vascular Endothelial Growth Factor Receptor-2 / metabolism",Hongtao,Liu
10.1371/journal.pone.0098486,24853093,PMC4031199,s3://pmc-oa-opendata/PMC4031199.1/PMC4031199.1.xml?md5=fc9b508293cc54aeed4e397ac44d1645,PLoS One,research-article,RETRACTED: Identification of Nitric Oxide as an Endogenous Inhibitor of 26S Proteasomes in Vascular Endothelial Cells,2014,,"Animals | Endothelium, Vascular / cytology, enzymology | Human Umbilical Vein Endothelial Cells | Humans | Male | Mice | Mice, Inbred C57BL | Nitric Oxide / physiology | Proteasome Endopeptidase Complex / drug effects",Hongtao,Liu
10.3892/etm.2016.3843,28105098,PMC5228579,s3://pmc-oa-opendata/PMC5228579.1/PMC5228579.1.xml?md5=845bc810c3f899736491d7193ea390da,Exp Ther Med,research-article,Radioprotective effects of pyrroloquinoline quinone on parotid glands in C57BL/6J mice,2016,oxidative stress | parotid glands | pyrroloquinoline quinone | radioprotective | total body irradiation,,Yuanqing,Huang
10.1021/acsomega.3c01045,37360438,PMC10286259,s3://pmc-oa-opendata/PMC10286259.1/PMC10286259.1.xml?md5=4bc53ed227221e27170feaded108c92c,ACS Omega,research-article,"Mercuric Chloride Induced Nephrotoxicity: Ameliorative Effect of Carica papaya Leaves Confirmed by Histopathology, Immunohistochemistry, and Gene Expression Studies",2023,,,Yuvaraj,Maria Francis
10.1016/j.heliyon.2020.e04327,32671252,PMC7347657,s3://pmc-oa-opendata/PMC7347657.1/PMC7347657.1.xml?md5=1fcda8cf7ec08a877534abac39943ed3,Heliyon,research-article,A novel immunosensor for the monitoring of PSA using binding of biotinylated antibody to the prostate specific antigen based on nano-ink modified flexible paper substrate: efficient method for diagnosis of cancer using biosensing technology,2020,Affinity binding | Biomedical analysis | Biomedical engineering | Cancer research | Conductive ink | Electrochemistry | Immunodevice | Immunology | Nanostructure | Nanotechnology | Prostate cancer,,Fatemeh,Farschi
10.1016/j.heliyon.2020.e03231,32021929,PMC6994313,s3://pmc-oa-opendata/PMC6994313.1/PMC6994313.1.xml?md5=d8778942420c825bef85e7bbe6a5fad6,Heliyon,research-article,"A novel synthesis of new antibacterial nanostructures based on Zn-MOF compound: design, characterization and a high performance application",2020,Biofilm | Biotechnology | Growth inhibitory concentration | Microbiology | UARM method | Zn-MOF,,Fatemeh,Akbarzadeh
10.3892/mmr.2021.12546,34841435,PMC8669681,s3://pmc-oa-opendata/PMC8669681.1/PMC8669681.1.xml?md5=ba4e20e190ae9c169324268fc2a598f9,Mol Med Rep,research-article,"MicroRNA-671-5p inhibits cell proliferation, migration and invasion in non-small cell lung cancer by targeting MFAP3L",2022,metastasis | microRNA‑671‑5p | microfibril‑associated protein 3‑like | non‑small cell lung cancer | proliferation,"A549 Cells | Carcinoma, Non-Small-Cell Lung / genetics, metabolism, pathology | Cell Line, Tumor | Cell Movement / drug effects | Cell Proliferation / drug effects | Contractile Proteins / metabolism | Female | Gene Expression Regulation, Neoplastic | Genes, Tumor Suppressor | Humans | Lung Neoplasms / genetics, metabolism, pathology | Lymphatic Metastasis | Male | MicroRNAs / antagonists & inhibitors, metabolism | Middle Aged | Wound Healing",Junhui,Ye
